Depthm,T_degC,Salnty
1178,3.58,34.52
0,19.4,33.95
10,19.27,33.91
20,19.27,33.91
24,19.27,33.91
30,18.91,33.884
48,17.31,33.78
50,17.12,33.768
73,14.91,33.66
75,14.74,33.657
97,,33.49
100,12.88,33.654
125,11.4,33.708
146,10.46,33.78
150,10.31,33.795
196,8.98,33.96
200,8.9,33.967
250,8.09,34.039
294,7.69,34.07
300,7.65,34.081
391,7.2,34.23
400,7.14,34.235
500,6.41,34.252
587,5.77,34.27
600,5.7,34.274
700,5.17,34.308
800,4.72,34.346
882,4.42,34.38
900,4.37,34.388
1000,4.07,34.431
1100,3.77,34.475
1176,3.54,34.51
0,19.1,33.87
10,19.04,33.89
20,19.01,33.87
25,19.0,33.86
30,18.74,33.899
37,18.28,33.96
50,17.45,33.969
59,16.94,33.95
75,16.45,33.939
80,16.33,33.93
100,15.86,33.852
112,15.39,33.78
125,14.24,33.68
143,12.53,33.58
150,12.16,33.573
200,10.47,33.636
208,10.36,33.66
250,9.28,33.784
300,8.22,33.941
370,7.14,34.16
400,6.83,34.207
500,6.06,34.311
550,5.84,34.33
600,5.57,34.36
700,5.08,34.41
800,4.68,34.444
828,4.58,34.45
900,4.35,34.464
1000,4.03,34.484
1100,3.71,34.506
1119,3.65,34.51
0,19.5,33.98
10,19.51,33.96
20,19.42,33.96
25,19.37,33.96
30,19.04,33.96
50,17.42,33.96
75,16.07,33.88
99,15.35,33.73
100,15.33,33.725
125,14.67,33.627
149,13.8,33.57
150,13.73,33.568
198,10.43,33.6
200,10.36,33.61
250,8.98,33.869
294,8.54,34.09
300,8.45,34.103
390,7.28,34.2
400,7.18,34.208
500,6.28,34.274
583,5.72,34.31
600,5.62,34.319
700,5.11,34.366
800,4.7,34.406
876,4.46,34.43
900,4.39,34.434
1000,4.09,34.453
1100,3.8,34.474
1174,3.58,34.49
0,19.9,34.19
10,19.87,34.16
20,19.85,34.174
24,19.84,34.18
30,19.5,34.165
47,18.27,34.11
50,18.09,34.104
71,17.09,34.07
75,16.98,34.065
94,16.58,34.04
100,16.48,34.016
125,16.07,33.994
141,15.8,33.97
150,14.97,33.867
187,11.22,33.55
200,10.54,33.586
250,8.86,33.831
281,8.54,34.04
300,8.19,34.075
375,7.17,34.13
400,6.92,34.156
500,6.14,34.255
566,5.79,34.31
600,5.61,34.33
700,5.13,34.381
800,4.73,34.417
854,4.55,34.43
900,4.4,34.442
1000,4.09,34.468
1100,3.77,34.497
1146,3.62,34.51
0,20.2,34.04
10,20.16,33.95
20,20.1,33.897
25,20.07,33.87
30,19.55,33.864
49,17.28,33.89
50,17.22,33.89
74,16.21,33.84
75,16.17,33.837
98,15.37,33.75
100,15.29,33.739
125,14.24,33.635
148,13.12,33.6
150,12.99,33.608
196,10.24,33.93
200,10.2,33.968
250,9.72,34.289
294,9.3,34.33
300,9.21,34.33
392,7.76,34.33
400,7.67,34.331
500,6.65,34.35
587,6.03,34.37
600,5.95,34.374
700,5.35,34.403
800,4.87,34.43
882,4.56,34.45
900,4.5,34.452
1000,4.19,34.464
1100,3.87,34.478
1178,3.62,34.49
0,20.8,34.25
10,20.81,34.23
20,20.74,34.223
25,20.71,34.22
30,20.22,34.09
50,17.8,33.62
75,15.92,33.88
100,14.49,33.68
125,12.45,33.68
150,10.64,33.68
199,9.98,34.05
200,9.97,34.055
250,9.56,34.274
298,9.22,34.38
300,9.2,34.382
397,8.14,34.42
400,8.11,34.421
500,7.11,34.441
594,6.29,34.45
600,6.25,34.45
700,5.56,34.45
800,4.98,34.451
890,4.56,34.45
900,4.52,34.452
1000,4.17,34.474
1100,3.81,34.498
1188,3.5,34.52
0,21.0,34.38
10,21.03,34.29
20,21.01,34.276
24,21.0,34.27
30,20.12,34.162
49,16.99,33.86
50,16.96,33.858
73,16.27,33.8
75,16.21,33.794
97,15.41,33.73
100,15.17,33.717
125,13.14,33.719
146,11.38,33.71
150,11.2,33.738
195,9.94,34.09
200,9.87,34.115
250,9.37,34.301
293,9.19,34.36
300,9.11,34.366
390,8.03,34.38
400,7.92,34.379
500,6.87,34.369
587,6.1,34.36
600,6.01,34.363
700,5.38,34.388
800,4.87,34.42
880,4.56,34.45
900,4.5,34.456
1000,4.18,34.485
1100,3.86,34.517
1200,3.54,34.549
1232,3.44,34.56
0,20.6,34.2
10,20.64,34.18
20,20.63,34.167
25,20.62,34.16
30,20.41,34.138
50,18.84,34.0
75,15.69,33.78
99,13.54,33.62
100,13.46,33.621
125,11.81,33.709
148,10.76,33.88
150,10.71,33.893
198,9.96,34.16
200,9.94,34.168
250,9.49,34.325
297,9.16,34.4
300,9.13,34.403
397,8.13,34.45
400,8.1,34.449
500,7.02,34.42
596,6.08,34.38
600,6.05,34.38
700,5.37,34.393
800,4.83,34.418
894,4.44,34.45
900,4.42,34.452
1000,4.12,34.481
1100,3.81,34.511
1192,3.53,34.54
0,20.9,34.29
10,20.87,34.25
20,20.83,34.25
25,20.81,34.25
30,20.48,34.2
50,18.58,33.96
74,16.29,33.82
75,16.19,33.812
98,14.12,33.66
100,13.96,33.656
125,12.2,33.671
147,11.09,33.77
150,11.0,33.789
197,10.2,34.11
200,10.16,34.121
250,9.53,34.275
295,9.06,
300,9.0,34.366
394,8.01,34.36
400,7.95,34.36
500,7.09,34.36
592,6.4,34.36
600,6.34,34.362
700,5.63,34.383
800,5.01,34.407
890,4.53,34.43
900,4.5,34.43
1000,4.2,34.436
1100,3.89,34.443
1189,3.62,34.45
0,20.5,34.07
10,20.43,34.14
20,20.49,34.192
24,20.52,34.22
30,20.0,34.158
49,17.82,33.91
50,17.73,33.904
74,16.04,33.81
75,15.99,33.806
98,14.94,33.71
100,14.79,33.7
125,12.98,33.699
148,11.43,33.69
150,11.37,33.709
198,10.59,34.2
200,10.57,34.211
250,9.99,34.393
297,9.52,34.42
300,9.48,34.423
397,8.3,34.45
400,8.27,34.449
500,7.19,34.422
596,6.32,34.39
600,6.29,34.391
700,5.61,34.41
800,5.06,34.438
894,4.66,34.47
900,4.64,34.471
1000,4.3,34.482
1100,3.97,34.496
1192,3.66,34.51
0,19.87,33.91
10,19.87,33.78
20,19.77,33.869
25,19.72,
30,19.52,33.895
50,18.15,33.77
75,15.44,33.64
100,14.29,33.55
125,12.69,33.55
150,11.24,33.55
199,10.32,34.07
200,10.3,34.075
250,9.5,34.153
297,8.86,34.23
300,8.82,34.233
395,7.82,34.29
400,7.77,34.292
500,6.89,34.333
588,6.23,34.36
600,6.14,34.364
700,5.49,34.394
800,4.93,34.422
882,4.54,34.44
900,4.48,34.443
1000,4.18,34.458
1100,3.87,34.475
1180,3.62,34.49
0,19.3,33.51
10,19.26,33.68
20,19.15,33.68
24,19.11,33.68
30,18.46,33.657
48,16.1,33.59
50,15.92,33.58
73,14.4,33.48
75,14.34,33.48
96,13.82,33.48
100,13.59,33.475
125,12.17,33.494
145,11.02,33.57
150,10.89,33.615
192,10.2,34.02
200,10.09,34.068
250,9.47,34.281
286,9.08,34.34
300,8.91,34.352
380,7.96,34.36
400,7.77,34.362
500,6.9,34.373
573,6.38,34.38
600,6.18,34.387
700,5.5,34.417
800,4.92,34.449
866,4.59,34.47
900,4.49,34.475
1000,4.19,34.491
1100,3.89,34.508
1165,3.7,34.52
0,19.6,33.72
9,19.38,33.68
10,19.37,33.679
20,19.31,33.665
24,19.29,33.66
30,18.8,33.729
48,16.81,33.87
50,16.58,33.83
72,14.37,33.39
75,14.21,33.392
96,13.33,33.52
100,13.07,33.529
125,11.58,33.608
144,10.6,33.69
150,10.56,33.756
190,10.3,34.09
200,10.29,34.158
250,10.16,34.403
284,9.99,34.48
300,9.74,34.472
378,8.35,34.36
400,8.09,34.356
500,7.13,34.369
567,6.67,34.4
600,6.4,34.402
700,5.64,34.412
800,4.99,34.424
854,4.68,34.43
900,4.53,34.442
1000,4.19,34.468
1100,3.86,34.496
1148,3.7,34.51
0,17.8,33.68
9,17.54,
10,17.36,33.708
20,15.29,33.76
23,14.55,33.78
30,13.41,33.775
47,11.45,33.77
50,11.24,33.771
71,10.45,33.82
75,10.43,33.861
95,10.32,34.04
100,10.42,34.092
125,10.89,34.318
144,11.25,34.45
150,11.2,34.457
192,10.53,34.43
200,10.45,34.437
250,9.98,34.488
290,9.64,34.54
300,9.52,34.54
387,8.42,
400,8.27,34.524
500,7.18,34.491
582,6.41,34.45
600,6.26,34.455
700,5.51,34.488
800,4.9,34.527
876,4.52,34.56
900,4.44,
1000,4.11,
1100,3.78,
1173,3.54,
0,10.8,33.24
6,10.72,33.26
10,10.64,33.292
16,10.52,33.34
20,10.5,33.34
30,10.45,33.34
34,10.43,33.34
50,9.54,33.331
52,9.42,33.33
71,8.82,33.49
75,8.79,33.538
100,8.62,33.782
105,8.58,33.82
125,8.42,33.917
136,8.33,33.95
150,8.22,33.981
200,7.83,34.03
201,7.82,34.03
250,7.49,34.04
264,7.4,34.04
300,7.17,34.055
391,6.6,33.48
400,6.54,34.104
500,5.9,34.164
581,5.42,34.22
600,5.36,34.228
700,5.02,34.272
800,4.69,34.318
900,4.36,34.365
930,4.26,34.38
0,13.52,32.95
7,13.7,32.88
10,13.7,32.895
19,13.69,32.94
20,13.66,32.94
30,13.22,32.94
39,12.55,32.94
50,11.32,33.141
60,10.19,33.35
75,9.33,33.316
96,8.68,33.39
100,8.59,33.41
125,8.1,33.541
150,7.74,33.675
200,7.43,33.944
203,7.43,33.96
250,6.9,33.968
300,6.39,33.976
326,6.15,33.98
400,5.64,33.98
410,5.58,33.98
495,5.11,34.07
500,5.09,34.074
600,4.68,34.154
700,4.34,34.22
756,4.18,34.25
800,4.05,34.278
900,3.76,34.333
1000,3.5,34.378
1100,3.28,34.413
1123,3.23,34.42
1200,3.1,34.422
1300,2.93,34.426
1400,2.76,34.429
1414,2.74,34.43
0,14.28,32.86
7,14.43,32.86
10,14.43,32.856
20,14.43,32.844
23,14.43,32.84
30,14.37,32.813
36,14.32,32.79
50,12.18,32.774
53,11.68,32.77
70,10.8,32.83
75,10.56,32.826
100,9.54,32.852
103,9.44,32.86
125,8.89,33.095
134,8.72,33.21
150,8.46,33.391
200,7.83,33.82
250,7.2,33.891
263,7.05,33.91
300,6.62,33.944
393,5.72,33.75
400,5.68,34.027
500,5.16,34.092
589,4.87,34.13
600,4.83,34.139
700,4.51,34.217
800,4.18,34.297
900,3.85,34.378
951,3.68,34.42
0,15.62,33.01
8,15.8,33.01
10,15.8,33.01
20,15.79,33.01
30,15.8,33.01
38,15.8,33.01
50,14.22,32.974
58,13.03,32.97
75,11.92,32.998
76,11.88,33.0
100,11.31,33.02
114,11.08,33.04
125,10.54,33.09
150,9.25,33.252
151,9.2,33.26
200,8.1,33.657
227,7.82,33.84
250,7.46,33.896
300,6.76,33.926
303,6.72,33.93
400,5.71,33.936
454,5.3,33.94
500,5.04,33.984
600,4.58,34.091
689,4.32,34.2
700,4.3,34.206
800,4.08,34.262
900,3.87,34.319
1000,3.65,34.377
1074,3.49,34.42
0,15.84,33.12
9,16.06,33.13
10,16.06,33.128
20,16.06,33.105
22,16.06,33.1
30,16.1,33.166
44,16.17,33.36
50,15.09,33.36
66,12.25,32.94
75,12.33,33.271
87,12.44,33.19
100,11.79,33.087
125,10.19,32.979
130,9.82,32.97
150,9.14,33.173
172,8.61,33.46
200,8.12,33.687
250,7.48,33.932
257,7.42,33.95
300,6.84,33.945
343,6.31,33.94
400,5.71,33.948
500,4.89,33.989
518,4.77,34.0
600,4.45,34.085
700,4.18,34.194
787,4.07,34.29
800,4.04,34.295
900,3.8,34.333
1000,3.57,34.371
1100,3.33,34.411
1197,3.1,34.45
0,16.22,33.17
8,16.24,33.17
10,16.23,33.168
20,16.17,33.15
30,16.15,33.177
42,16.12,33.21
50,15.11,33.167
62,13.38,33.1
75,12.2,33.027
83,11.68,32.99
100,11.41,33.033
123,11.05,33.06
125,11.0,33.069
150,10.38,33.209
160,10.1,33.28
200,8.9,33.641
227,8.12,33.86
250,7.59,33.918
286,6.84,33.95
300,6.77,33.958
400,6.29,34.0
401,5.14,34.0
500,5.81,34.077
592,5.6,33.96
600,5.32,34.142
700,4.84,34.209
800,4.35,34.281
900,3.87,34.355
958,3.59,34.4
0,16.29,32.97
9,16.33,32.97
10,16.32,32.968
20,16.16,32.946
22,16.11,32.94
30,15.91,32.925
44,15.56,32.9
50,14.56,32.874
66,11.77,32.86
75,11.06,32.847
88,10.51,32.84
100,10.27,32.915
125,9.97,33.138
134,9.94,33.24
150,9.48,33.408
178,8.64,33.68
200,8.25,33.788
250,7.56,33.91
268,7.39,33.91
300,6.93,33.935
358,6.15,33.95
400,5.72,33.959
500,4.94,33.989
504,4.92,33.99
600,4.5,34.083
700,4.19,34.186
800,4.01,34.294
814,3.99,34.31
900,3.78,34.347
1000,3.53,34.39
1100,3.28,34.434
1200,3.04,34.48
1223,2.98,34.49
0,16.28,33.23
8,16.48,33.26
10,16.48,33.268
20,16.46,32.9
30,16.49,33.348
43,16.54,33.4
50,16.45,33.382
55,16.38,33.24
62,13.8,33.37
75,13.46,33.37
80,13.46,33.37
83,13.25,33.37
100,12.85,33.384
125,12.22,33.425
147,11.62,33.48
150,11.5,33.491
200,9.53,33.717
219,8.8,33.82
250,8.2,33.844
300,7.5,33.886
364,7.1,33.64
400,6.73,33.979
500,5.82,34.086
579,5.23,34.18
600,5.11,34.195
700,4.62,34.261
800,4.27,34.318
894,4.06,34.36
900,4.05,34.363
1000,3.85,34.418
1026,3.8,34.43
1100,3.64,34.443
1200,3.42,34.454
1300,3.2,34.459
1400,2.99,34.456
1467,2.85,34.45
1500,2.79,34.456
1600,2.61,34.474
1800,2.31,34.51
1916,2.16,34.09
2000,2.08,34.546
2200,1.93,34.582
2365,1.85,34.61
2400,1.84,34.612
2600,1.75,34.62
2800,1.67,34.629
2815,1.66,34.63
0,15.86,32.99
8,15.94,32.99
10,15.92,32.983
20,15.82,32.95
30,15.43,32.932
39,14.87,32.86
50,13.78,32.976
59,13.02,33.12
75,13.12,33.36
79,13.15,33.39
100,12.65,33.377
119,11.82,33.28
125,11.47,33.275
150,10.01,33.303
158,9.54,33.33
200,8.45,33.628
234,8.04,33.87
250,7.78,33.908
300,7.04,33.951
307,6.95,33.96
400,5.84,34.054
456,5.32,33.51
500,5.07,34.145
600,4.66,34.22
697,4.45,34.27
700,4.44,34.272
800,4.15,34.322
900,3.86,34.373
1000,3.58,34.426
1082,3.34,34.47
0,15.4,32.97
8,15.31,32.94
10,15.27,32.94
20,15.02,32.94
22,14.96,32.94
30,14.74,32.94
44,14.04,32.94
50,13.41,32.912
66,11.62,32.84
75,10.88,32.802
88,10.05,32.78
100,9.69,32.863
125,9.31,33.119
132,9.29,33.21
150,8.91,33.401
175,8.39,33.64
200,8.03,33.772
250,7.45,33.918
263,7.33,33.93
300,6.91,33.992
350,6.39,34.05
400,5.97,34.102
500,5.29,34.195
527,5.14,33.87
600,4.78,34.271
700,4.38,34.327
795,4.08,34.36
800,4.07,34.361
900,3.84,34.393
1000,3.61,34.425
1100,3.38,34.458
1193,3.17,34.49
0,14.62,32.86
8,14.76,32.88
10,14.76,32.88
18,14.76,32.88
20,14.75,32.88
30,14.71,32.88
38,14.68,32.88
50,13.09,32.801
56,12.15,32.77
75,10.21,32.75
100,9.61,32.954
113,9.3,33.03
125,9.05,33.169
150,8.57,33.46
200,7.91,33.811
227,7.62,33.91
250,7.3,33.942
300,6.64,33.949
302,6.62,33.95
400,5.91,34.005
453,5.66,
500,5.38,34.064
600,4.83,34.126
686,4.42,34.16
700,4.38,34.19
800,4.11,34.257
900,3.84,34.326
1000,3.56,34.398
1071,3.37,34.45
0,15.3,
9,15.37,32.99
10,15.37,32.993
20,15.38,33.021
23,15.38,33.03
30,15.22,33.022
47,14.17,32.94
50,13.75,32.908
71,10.83,32.77
75,10.52,32.772
95,9.53,32.86
100,9.4,32.919
125,8.93,33.239
142,8.81,33.48
150,8.68,33.557
189,8.08,33.84
200,7.93,33.876
250,7.31,33.918
283,6.94,33.96
300,6.75,33.973
377,5.95,34.02
400,5.77,34.03
500,5.1,34.076
568,4.78,34.11
600,4.66,34.142
700,4.35,34.242
800,4.12,34.341
860,4.01,34.4
900,3.92,34.41
1000,3.68,34.435
1100,3.44,34.461
1200,3.21,34.488
1280,3.02,34.51
0,15.4,33.12
8,15.56,33.13
10,15.56,33.122
19,15.54,33.1
20,15.53,33.1
30,15.47,33.1
40,15.41,33.1
50,13.75,32.989
60,11.94,32.92
75,11.58,33.097
98,11.02,33.19
100,10.96,33.206
125,10.26,33.397
150,9.59,33.573
200,8.32,33.878
206,8.18,33.91
250,7.47,33.998
300,6.86,33.994
329,6.59,34.02
400,5.96,34.061
414,5.86,34.07
498,5.4,34.16
500,5.39,34.162
600,4.98,34.238
700,4.64,34.304
757,4.48,34.17
800,4.34,34.358
900,4.04,34.401
1000,3.76,34.431
1100,3.5,34.448
1117,3.46,34.45
1200,3.3,34.467
1300,3.11,34.488
1400,2.91,34.51
1401,2.91,34.51
0,14.1,33.26
6,14.19,33.28
10,14.19,33.227
15,14.18,33.19
20,13.39,33.13
30,11.56,33.08
45,10.63,33.19
50,10.48,33.255
59,10.26,33.37
75,9.56,33.459
83,9.21,33.48
100,8.87,33.528
108,8.77,33.55
125,8.52,33.649
150,8.19,33.804
160,8.08,33.87
200,7.7,34.025
215,7.58,34.07
250,7.31,34.084
300,6.95,34.105
330,6.75,34.04
400,6.32,34.151
500,5.71,34.203
547,5.42,34.23
0,14.15,33.17
7,14.36,33.22
10,14.35,33.205
18,14.34,33.17
20,14.33,33.173
30,14.27,33.197
34,14.23,33.21
50,13.91,33.19
75,10.56,33.22
100,9.9,33.553
125,9.24,33.732
150,8.58,33.73
153,8.5,33.75
200,8.0,33.929
243,7.7,34.0
250,7.61,33.997
300,6.98,33.972
304,6.93,33.97
365,6.48,34.07
400,6.25,34.107
500,5.67,34.199
546,5.44,34.04
600,5.18,34.268
700,4.74,34.312
794,4.4,34.33
800,4.38,34.332
900,4.13,34.371
1000,3.88,34.411
1046,3.76,34.43
0,17.6,33.68
10,17.71,33.668
17,17.78,33.66
20,17.78,33.671
30,17.78,33.71
50,16.14,33.683
53,15.87,33.68
75,15.59,33.75
100,15.1,33.791
113,14.76,33.8
125,14.19,33.785
150,12.99,33.79
200,10.52,33.777
228,9.09,33.77
250,8.56,33.814
300,7.64,33.91
357,7.1,34.0
400,6.65,34.024
443,6.27,34.05
500,5.86,34.144
530,5.67,34.2
600,5.32,34.228
700,4.91,34.27
799,4.6,34.24
800,4.6,34.313
900,4.27,34.358
1000,3.98,34.405
1100,3.72,34.453
1175,3.54,34.49
1200,3.49,
1300,3.28,
1400,3.08,
1472,2.93,34.45
0,16.54,33.28
8,16.72,33.22
10,16.72,33.22
18,16.72,33.22
20,16.72,33.22
30,16.7,33.22
32,16.7,33.22
46,16.26,33.58
50,15.72,33.551
59,14.44,33.44
75,14.21,33.548
88,14.03,33.55
100,13.61,33.55
116,12.89,33.55
125,12.28,33.538
150,10.68,33.544
174,9.26,33.6
200,8.96,33.783
230,8.62,33.93
250,8.38,33.928
300,7.76,33.93
345,7.21,33.46
400,6.52,33.968
500,5.4,34.044
527,5.13,34.07
600,4.9,34.128
700,4.59,34.208
800,4.28,34.289
900,3.97,34.372
909,3.94,34.38
0,16.8,33.3
7,16.62,33.31
10,16.63,33.31
16,16.64,33.31
20,16.64,33.326
30,16.63,33.385
32,16.63,33.4
49,15.79,33.26
50,15.74,33.266
75,14.47,33.513
79,14.26,33.57
100,12.98,33.594
125,11.56,33.559
150,10.26,33.579
165,9.53,33.55
200,9.06,33.799
250,8.39,34.014
267,8.16,34.05
300,8.0,34.05
332,7.82,34.05
399,6.88,
400,6.87,34.083
500,6.04,34.155
598,5.56,34.25
600,5.55,34.251
700,5.16,34.311
800,4.82,34.371
900,4.54,34.433
926,4.48,34.45
1000,4.21,
1100,3.84,
1180,3.54,34.43
0,16.4,33.35
9,16.57,33.31
10,16.57,33.309
20,16.59,33.302
22,16.59,33.3
30,16.59,33.297
46,16.58,33.29
50,16.1,33.265
68,13.67,33.19
75,13.46,33.24
100,12.72,33.236
110,12.42,33.25
125,11.86,33.325
150,10.95,33.46
200,9.28,33.764
228,8.43,33.95
250,8.11,34.007
300,7.57,34.097
364,7.27,34.13
400,7.0,34.182
454,6.61,34.24
500,6.29,34.24
544,6.0,34.23
600,5.68,34.25
700,5.17,34.297
800,4.74,34.356
821,4.66,34.37
900,4.38,34.397
1000,4.06,34.427
1100,3.78,34.451
1200,3.55,34.47
1203,3.54,34.47
1300,3.34,34.486
1400,3.13,34.503
1499,2.93,34.52
0,16.0,33.22
10,15.77,33.17
20,15.77,33.17
24,15.77,33.17
30,15.78,33.175
48,15.79,33.19
50,15.76,33.224
71,15.29,33.6
75,15.18,33.636
94,14.51,33.71
100,14.17,33.681
125,12.59,33.555
138,11.66,33.49
150,10.83,33.539
183,8.84,33.77
200,8.62,33.821
250,7.98,33.975
280,7.59,34.07
300,7.4,34.098
376,6.78,34.16
400,6.62,34.181
500,6.03,34.262
572,5.69,34.31
600,5.56,34.319
700,5.12,34.355
800,4.73,34.393
868,4.49,34.42
900,4.4,
1000,4.12,
1100,3.83,
1200,3.55,
1293,3.29,33.61
0,15.29,33.21
8,15.3,33.15
10,15.28,33.15
20,15.17,33.15
21,15.16,33.15
30,14.53,33.199
43,13.62,33.31
50,13.65,33.388
65,13.68,33.49
75,12.99,33.412
86,12.06,33.31
100,11.11,33.309
125,9.8,33.436
130,9.59,33.48
150,9.13,33.673
173,8.82,33.89
200,8.39,33.986
250,7.67,34.005
260,7.54,34.02
300,6.99,34.038
348,6.41,34.05
400,6.01,34.078
500,5.49,34.142
526,5.4,34.16
600,5.07,34.222
700,4.68,34.304
799,4.36,34.38
800,4.36,34.38
900,4.1,34.418
1000,3.83,34.457
1082,3.62,34.49
0,15.5,33.31
9,15.5,33.24
10,15.49,33.242
20,15.38,33.256
23,15.35,33.26
30,14.65,33.246
46,12.75,33.22
50,12.48,33.205
70,11.4,33.18
75,11.08,33.219
94,9.96,33.42
100,9.73,33.47
125,9.06,33.657
140,8.87,33.75
150,8.78,33.817
186,8.55,34.02
200,8.4,34.064
250,7.75,34.154
277,7.34,34.16
300,6.94,34.159
367,5.87,34.14
400,5.6,34.144
500,5.08,34.166
550,5.0,34.18
600,4.82,34.204
700,4.5,34.253
800,4.23,34.302
837,4.14,34.54
900,4.0,34.353
1000,3.79,34.404
1100,3.58,34.456
1200,3.36,34.51
1256,3.24,34.54
0,15.27,33.22
10,15.45,33.21
20,15.18,33.26
23,15.05,33.28
30,14.74,33.328
47,13.88,33.4
50,13.76,33.391
71,12.71,33.28
75,12.38,33.259
94,10.8,33.22
100,10.5,33.258
125,9.58,33.463
142,9.27,33.64
150,9.1,33.697
189,8.42,33.91
200,8.27,33.935
250,7.63,33.999
282,7.26,34.0
300,6.97,34.03
377,5.86,34.16
400,5.81,34.162
500,5.57,34.172
570,5.41,34.18
600,5.3,34.197
700,4.91,34.26
800,4.5,34.331
863,4.24,34.38
900,4.15,34.392
1000,3.89,34.424
1100,3.63,34.457
1200,3.38,34.491
1282,3.17,34.52
0,15.85,33.55
10,15.9,33.55
20,15.77,33.49
25,15.71,33.46
30,15.15,33.463
50,12.34,33.57
75,9.98,33.69
98,9.12,33.86
100,9.07,33.867
125,8.52,33.922
147,8.22,33.93
150,8.18,33.936
195,7.72,34.02
200,7.67,34.026
250,7.15,34.08
293,6.76,34.11
300,6.71,34.113
391,6.16,34.33
400,6.11,34.159
500,5.59,34.197
587,5.2,34.22
600,5.15,34.229
700,4.77,34.302
800,4.44,34.372
884,4.2,34.43
900,4.16,34.435
1000,3.9,34.464
1100,3.64,34.494
1183,3.42,34.52
0,16.19,33.44
10,16.15,33.38
20,15.77,33.328
24,15.54,33.31
30,15.15,33.277
48,13.67,33.24
50,13.45,33.252
71,11.36,33.42
75,11.14,33.433
95,10.36,33.48
100,10.15,33.508
125,9.24,33.658
142,8.74,33.77
150,8.6,33.808
190,8.12,33.95
200,7.99,33.963
250,7.36,33.975
285,6.96,33.99
300,6.8,34.004
381,6.1,
400,6.01,34.099
500,5.62,34.197
575,5.44,34.27
600,5.33,34.285
700,4.92,34.337
800,4.51,34.378
869,4.24,34.4
900,4.17,34.408
1000,3.93,34.436
1100,3.69,34.464
1200,3.45,34.494
1288,3.24,34.52
0,14.41,33.31
10,13.88,33.33
20,11.55,33.357
26,10.09,33.42
30,10.1,33.473
50,10.14,33.737
51,10.14,33.75
75,9.46,33.75
76,9.42,33.75
100,8.7,33.85
102,8.64,33.86
125,8.24,33.913
150,7.92,33.948
152,7.9,33.95
200,7.2,34.018
202,7.17,34.02
250,6.76,34.081
300,6.46,34.129
302,6.45,34.13
400,5.85,34.16
402,5.84,34.16
500,5.39,34.21
600,5.02,34.266
606,5.0,34.27
700,4.75,34.31
800,4.48,34.354
900,4.22,34.399
1000,3.95,34.445
1100,3.68,34.491
1139,3.58,34.51
0,15.68,33.01
9,15.47,32.95
10,15.46,32.95
20,15.29,32.962
23,15.19,32.97
30,14.57,32.959
46,12.68,32.95
50,12.18,32.958
69,9.96,33.06
75,9.42,33.11
92,8.27,33.28
100,8.21,33.415
125,8.03,33.735
138,7.94,33.84
150,7.83,33.9
185,7.47,33.98
200,7.3,34.003
250,6.75,34.047
279,6.45,34.05
300,6.27,34.05
374,5.73,34.05
400,5.59,34.062
500,5.15,34.126
565,4.93,34.18
600,4.8,34.21
700,4.45,34.29
800,4.13,34.364
852,3.98,34.4
900,3.86,34.412
1000,3.62,34.438
1100,3.37,34.464
1194,3.14,34.49
0,16.58,32.5
9,16.03,32.48
10,15.98,32.507
20,15.41,32.815
23,15.2,32.92
30,14.28,32.985
47,11.86,32.99
50,11.55,32.972
71,9.87,32.9
75,9.64,32.939
95,8.81,33.21
100,8.69,33.276
125,8.25,33.569
142,8.12,33.73
150,8.04,33.779
189,7.67,33.93
200,7.56,33.948
250,7.04,33.998
282,6.72,34.0
300,6.55,34.021
375,5.92,34.11
400,5.75,34.13
500,5.18,34.193
561,4.9,34.22
600,4.79,34.233
700,4.5,34.268
800,4.21,34.304
900,3.93,34.341
1000,3.64,34.379
1100,3.35,34.418
1178,3.13,34.45
0,16.55,32.66
10,16.11,32.59
20,15.7,32.59
24,15.5,32.59
30,14.98,32.613
47,13.18,32.7
50,12.84,32.702
71,10.65,32.77
75,10.36,32.811
94,9.31,33.04
100,9.14,33.11
125,8.68,33.375
140,8.6,33.51
150,8.48,33.582
186,8.09,33.78
200,7.9,33.825
250,7.24,33.935
276,6.92,33.96
300,6.74,33.99
366,6.34,34.05
400,6.1,34.074
500,5.44,34.136
544,5.16,34.16
600,4.89,34.199
700,4.46,34.267
800,4.11,34.333
811,4.08,34.34
900,3.82,34.387
1000,3.53,34.442
1100,3.24,34.498
1122,3.18,34.51
0,16.35,32.61
10,16.19,32.56
20,15.81,32.587
24,15.59,32.61
30,15.13,32.654
47,13.34,32.79
50,12.87,32.803
71,9.94,32.95
75,9.82,33.012
95,9.24,33.19
100,9.17,33.245
125,8.94,33.498
143,8.88,33.66
150,8.81,33.708
190,8.36,33.91
200,8.25,33.933
250,7.73,34.0
282,7.44,34.0
300,7.32,34.015
373,6.86,34.07
400,6.65,34.089
458,6.21,34.13
500,5.96,34.166
600,5.41,34.247
700,4.94,34.318
800,4.56,34.379
801,4.56,34.38
900,4.19,34.39
1000,3.82,34.402
1100,3.45,34.416
1126,3.35,34.42
0,16.75,32.61
10,16.53,32.61
20,15.67,32.579
24,15.24,32.57
30,14.62,32.576
48,12.88,32.66
50,12.74,32.677
72,11.44,32.86
75,11.29,32.873
96,10.36,32.95
100,10.21,32.971
125,9.39,33.129
144,8.94,33.28
150,8.84,33.341
